test_name,planner_name,num_agents,planning_time,plan_cost,num_hl_expanded,num_hl_generated,num_ll_expanded,num_ll_generated,hl_focal_weight,ll_focal_weight,wastar_weight,num_collision_checks,description,stamp
test238,EAECBS_L2_HEURISTIC,2,0.329288,8.88373,0,0,54,-1,1.3,1.3,55,15707,from right_push_down to left_forward,2024-10-30T01:07:39
test239,EAECBS_L2_HEURISTIC,2,0.129293,4.17134,0,0,22,-1,1.3,1.3,55,6455,from right_push_down to right_forward,2024-10-30T01:07:48
test240,EAECBS_L2_HEURISTIC,2,0.444087,9.16298,0,0,44,-1,1.3,1.3,55,13010,from left_forward to ready_pose,2024-10-30T01:07:57
test241,EAECBS_L2_HEURISTIC,2,0.784725,7.9587,0,0,44,-1,1.3,1.3,55,12791,from left_forward to left_push,2024-10-30T01:08:06
test242,EAECBS_L2_HEURISTIC,2,0.319719,6.28319,0,0,30,-1,1.3,1.3,55,8766,from left_forward to right_push,2024-10-30T01:08:14
test243,EAECBS_L2_HEURISTIC,2,1.27446,9.14553,4,8,158,-1,1.3,1.3,55,41028,from left_forward to left_push_up,2024-10-30T01:08:24
test244,EAECBS_L2_HEURISTIC,2,0.211591,5.75959,0,0,24,-1,1.3,1.3,55,7088,from left_forward to right_push_up,2024-10-30T01:08:32
test245,EAECBS_L2_HEURISTIC,2,0.3496,7.1733,0,0,34,-1,1.3,1.3,55,10115,from left_forward to left_rotated,2024-10-30T01:08:41
test246,EAECBS_L2_HEURISTIC,2,0.873787,9.25025,0,0,62,-1,1.3,1.3,55,18167,from left_forward to right_rotated,2024-10-30T01:08:50
test247,EAECBS_L2_HEURISTIC,2,0.319369,8.95354,0,0,44,-1,1.3,1.3,55,12879,from left_forward to random1,2024-10-30T01:08:58
test248,EAECBS_L2_HEURISTIC,2,0.319739,8.18559,0,0,41,-1,1.3,1.3,55,11947,from left_forward to random2,2024-10-30T01:09:07
test249,EAECBS_L2_HEURISTIC,2,0.707115,11.6239,0,0,58,-1,1.3,1.3,55,16910,from left_forward to random3,2024-10-30T01:09:16
test250,EAECBS_L2_HEURISTIC,2,1.01049,12.1126,0,0,65,-1,1.3,1.3,55,19045,from left_forward to random4,2024-10-30T01:09:25
test251,EAECBS_L2_HEURISTIC,2,1.91922,16.2141,1,2,111,-1,1.3,1.3,55,32692,from left_forward to random5,2024-10-30T01:09:35
test252,EAECBS_L2_HEURISTIC,2,0.611685,13.3518,0,0,63,-1,1.3,1.3,55,18539,from left_forward to random6,2024-10-30T01:09:45
test253,EAECBS_L2_HEURISTIC,2,0.258678,4.17134,0,0,21,-1,1.3,1.3,55,6143,from left_forward to left_push_down,2024-10-30T01:09:53
test254,EAECBS_L2_HEURISTIC,2,0.546145,8.88373,0,0,57,-1,1.3,1.3,55,16593,from left_forward to right_push_down,2024-10-30T01:10:02
test255,EAECBS_L2_HEURISTIC,2,0.581417,12.1126,0,0,71,-1,1.3,1.3,55,20625,from left_forward to right_forward,2024-10-30T01:10:11
test256,EAECBS_L2_HEURISTIC,2,0.436754,9.16298,0,0,48,-1,1.3,1.3,55,13977,from right_forward to ready_pose,2024-10-30T01:10:19
test257,EAECBS_L2_HEURISTIC,2,0.332256,8.02851,0,0,40,-1,1.3,1.3,55,11765,from right_forward to left_push,2024-10-30T01:10:27
test258,EAECBS_L2_HEURISTIC,2,0.528909,8.83137,0,0,50,-1,1.3,1.3,55,14594,from right_forward to right_push,2024-10-30T01:10:37
test259,EAECBS_L2_HEURISTIC,2,0.209061,5.75959,0,0,24,-1,1.3,1.3,55,7037,from right_forward to left_push_up,2024-10-30T01:10:45
